dataset,snr_db,seed,method,errors,symbol_count,ser,fixes_vs_savaux,breaks_vs_savaux
0_0_0_10_14_32,-22.0,53,ordinary_fft,166,245,0.6775510204081633,0,135
0_0_0_10_14_32,-22.0,53,savaux,31,245,0.12653061224489795,0,0
0_0_0_10_14_32,-22.0,53,savaux_header,31,245,0.12653061224489795,0,0
0_0_0_10_14_32,-22.0,53,branch_gls,31,245,0.12653061224489795,0,0
0_0_0_10_14_32,-22.0,53,branch_shrinkage,31,245,0.12653061224489795,0,0
0_0_0_10_14_32,-22.0,53,savaux_dual,31,245,0.12653061224489795,0,0
0_0_0_10_14_32,-22.0,53,proposed,31,245,0.12653061224489795,0,0
0_0_0_10_14_32,-26.0,53,ordinary_fft,232,245,0.9469387755102041,0,124
0_0_0_10_14_32,-26.0,53,savaux,108,245,0.44081632653061226,0,0
0_0_0_10_14_32,-26.0,53,savaux_header,108,245,0.44081632653061226,0,0
0_0_0_10_14_32,-26.0,53,branch_gls,108,245,0.44081632653061226,0,0
0_0_0_10_14_32,-26.0,53,branch_shrinkage,108,245,0.44081632653061226,0,0
0_0_0_10_14_32,-26.0,53,savaux_dual,108,245,0.44081632653061226,0,0
0_0_0_10_14_32,-26.0,53,proposed,108,245,0.44081632653061226,0,0
