dataset,snr_db,method,errors,symbol_count,fixes_vs_savaux,breaks_vs_savaux,ser
0_0_0_10_14_32,-22.0,ordinary_fft,505,735,1,413,0.6870748299319728
0_0_0_10_14_32,-22.0,savaux,93,735,0,0,0.12653061224489795
0_0_0_10_14_32,-22.0,branch_gls,93,735,0,0,0.12653061224489795
0_0_0_10_14_32,-22.0,savaux_dual,93,735,0,0,0.12653061224489795
0_0_0_10_14_32,-22.0,proposed,93,735,0,0,0.12653061224489795
0_0_0_10_14_32,-22.0,unichirp,158,735,0,0,0.21496598639455783
0_0_0_10_14_32,-22.0,symfec,159,735,0,0,0.2163265306122449
0_0_0_10_14_32,-22.0,loratrimmer,100,735,0,0,0.1360544217687075
0_0_0_10_14_32,-23.0,ordinary_fft,582,735,0,471,0.7918367346938775
0_0_0_10_14_32,-23.0,savaux,111,735,0,0,0.1510204081632653
0_0_0_10_14_32,-23.0,branch_gls,111,735,0,0,0.1510204081632653
0_0_0_10_14_32,-23.0,savaux_dual,111,735,0,0,0.1510204081632653
0_0_0_10_14_32,-23.0,proposed,111,735,0,0,0.1510204081632653
0_0_0_10_14_32,-23.0,unichirp,177,735,0,0,0.24081632653061225
0_0_0_10_14_32,-23.0,symfec,269,735,0,0,0.3659863945578231
0_0_0_10_14_32,-23.0,loratrimmer,137,735,0,0,0.18639455782312925
0_0_0_10_14_32,-24.0,ordinary_fft,639,735,1,497,0.8693877551020408
0_0_0_10_14_32,-24.0,savaux,143,735,0,0,0.1945578231292517
0_0_0_10_14_32,-24.0,branch_gls,143,735,0,0,0.1945578231292517
0_0_0_10_14_32,-24.0,savaux_dual,144,735,0,1,0.19591836734693877
0_0_0_10_14_32,-24.0,proposed,144,735,0,1,0.19591836734693877
0_0_0_10_14_32,-24.0,unichirp,219,735,0,0,0.2979591836734694
0_0_0_10_14_32,-24.0,symfec,406,735,0,0,0.5523809523809524
0_0_0_10_14_32,-24.0,loratrimmer,190,735,0,0,0.2585034013605442
0_0_0_10_14_32,-25.0,ordinary_fft,669,735,1,461,0.9102040816326531
0_0_0_10_14_32,-25.0,savaux,209,735,0,0,0.28435374149659864
0_0_0_10_14_32,-25.0,branch_gls,209,735,0,0,0.28435374149659864
0_0_0_10_14_32,-25.0,savaux_dual,210,735,0,1,0.2857142857142857
0_0_0_10_14_32,-25.0,proposed,210,735,0,1,0.2857142857142857
0_0_0_10_14_32,-25.0,unichirp,294,735,0,0,0.4
0_0_0_10_14_32,-25.0,symfec,531,735,0,0,0.7224489795918367
0_0_0_10_14_32,-25.0,loratrimmer,283,735,0,0,0.38503401360544215
0_0_0_10_14_32,-26.0,ordinary_fft,693,735,2,373,0.9428571428571428
0_0_0_10_14_32,-26.0,savaux,322,735,0,0,0.4380952380952381
0_0_0_10_14_32,-26.0,branch_gls,322,735,0,0,0.4380952380952381
0_0_0_10_14_32,-26.0,savaux_dual,323,735,0,1,0.43945578231292515
0_0_0_10_14_32,-26.0,proposed,323,735,0,1,0.43945578231292515
0_0_0_10_14_32,-26.0,unichirp,394,735,0,0,0.5360544217687074
0_0_0_10_14_32,-26.0,symfec,617,735,0,0,0.8394557823129252
0_0_0_10_14_32,-26.0,loratrimmer,398,735,0,0,0.5414965986394558
