scenario,target_tx_dbm,trial,symbol_index,gt_bin,branch0_bin,savaux_bin,equal8_bin,gls8_direct_bin,gls8_cg_bin,gls8_cg_wrap_bin,conditional_gls_bin,savaux_margin_db,branch_color_mismatch,conditional_backend_ran
thermal_only,-58.0,0,0,596,596,596,596,596,596,596,596,5.802986904513526,1.2798575219660688,0
thermal_only,-58.0,0,1,975,975,975,975,975,975,975,975,5.6673174981972965,1.2784000518481513,0
thermal_only,-58.0,0,2,938,938,938,938,938,938,938,938,4.714924671166749,1.282673972096744,0
thermal_only,-58.0,0,3,11,11,11,11,11,11,11,11,8.158669352972653,1.2995938327186551,0
thermal_only,-58.0,0,4,664,664,664,664,664,664,664,664,6.465201436910935,1.2788996246478292,0
thermal_only,-58.0,0,5,67,67,67,67,67,67,67,67,9.504419452946307,1.2880269633115131,0
thermal_only,-58.0,0,6,336,336,336,336,336,336,336,336,5.915267591894141,1.2816481809859832,0
thermal_only,-58.0,0,7,207,207,207,207,207,207,207,207,6.112374386598973,1.2921954376476867,0
thermal_only,-58.0,0,8,261,261,261,261,261,261,261,261,4.775536644753498,1.279803365457572,0
thermal_only,-58.0,0,9,540,540,540,540,540,540,540,540,5.497801889022568,1.2851954275158144,0
thermal_only,-58.0,0,10,499,499,499,499,499,499,499,499,7.6136194565173785,1.2733841916315802,0
thermal_only,-58.0,0,11,475,475,475,475,475,475,475,475,6.2770140223913184,1.2854736905905972,0
thermal_only,-58.0,0,12,596,596,596,596,596,596,596,596,5.09498449120113,1.2809708558147106,0
thermal_only,-58.0,0,13,229,229,229,229,229,229,229,229,5.889242798860045,1.2749998832156384,0
thermal_only,-58.0,0,14,993,993,993,993,993,993,993,993,4.333255771652736,1.2796108634848724,0
thermal_only,-58.0,0,15,993,993,993,993,993,993,993,993,2.9169863328012964,1.284624138486281,0
thermal_only,-58.0,0,16,597,597,597,597,597,597,597,597,7.050727375635514,1.2904881348870771,0
thermal_only,-58.0,0,17,758,758,758,758,758,758,758,758,5.638089842809659,1.2851553025555096,0
thermal_only,-58.0,0,18,296,296,296,296,296,296,296,296,5.170588242379017,1.2727994778513139,0
