dataset,snr_db,method,errors,symbol_count,fixes_vs_savaux,breaks_vs_savaux,ser
0_0_0_10_14_32,-22.0,ordinary_fft,505,735,1,413,0.6870748299319728
0_0_0_10_14_32,-22.0,savaux,93,735,0,0,0.12653061224489795
0_0_0_10_14_32,-22.0,branch_gls,93,735,0,0,0.12653061224489795
0_0_0_10_14_32,-22.0,savaux_dual,93,735,0,0,0.12653061224489795
0_0_0_10_14_32,-22.0,proposed,93,735,0,0,0.12653061224489795
0_0_0_10_14_32,-23.0,ordinary_fft,582,735,0,471,0.7918367346938775
0_0_0_10_14_32,-23.0,savaux,111,735,0,0,0.1510204081632653
0_0_0_10_14_32,-23.0,branch_gls,111,735,0,0,0.1510204081632653
0_0_0_10_14_32,-23.0,savaux_dual,111,735,0,0,0.1510204081632653
0_0_0_10_14_32,-23.0,proposed,111,735,0,0,0.1510204081632653
0_0_0_10_14_32,-24.0,ordinary_fft,639,735,1,497,0.8693877551020408
0_0_0_10_14_32,-24.0,savaux,143,735,0,0,0.1945578231292517
0_0_0_10_14_32,-24.0,branch_gls,143,735,0,0,0.1945578231292517
0_0_0_10_14_32,-24.0,savaux_dual,143,735,0,0,0.1945578231292517
0_0_0_10_14_32,-24.0,proposed,143,735,0,0,0.1945578231292517
0_0_0_10_14_32,-25.0,ordinary_fft,669,735,1,461,0.9102040816326531
0_0_0_10_14_32,-25.0,savaux,209,735,0,0,0.28435374149659864
0_0_0_10_14_32,-25.0,branch_gls,209,735,0,0,0.28435374149659864
0_0_0_10_14_32,-25.0,savaux_dual,209,735,0,0,0.28435374149659864
0_0_0_10_14_32,-25.0,proposed,209,735,0,0,0.28435374149659864
0_0_0_10_14_32,-26.0,ordinary_fft,693,735,2,373,0.9428571428571428
0_0_0_10_14_32,-26.0,savaux,322,735,0,0,0.4380952380952381
0_0_0_10_14_32,-26.0,branch_gls,322,735,0,0,0.4380952380952381
0_0_0_10_14_32,-26.0,savaux_dual,322,735,0,0,0.4380952380952381
0_0_0_10_14_32,-26.0,proposed,322,735,0,0,0.4380952380952381
